talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
74915.0,How we can curb climate change by spending two percent more on everything,Jens Burchardt,2021-04-08,2021-04-08,TED@BCG,684.0,1329020.0,39000.0
74199.0,The surprising secrets of hummingbird flight,Kristiina J. Hurme and Alejandro Rico-Guevara,2021-04-08,2021-04-08,TED-Ed,285.0,881606.0,26000.0
64427.0,Mantua Townshi‪p‬,Far Flung with Saleem Reshamwala,2020-06-17,2021-04-09,TED Audio Collective,2395.0,945991.0,28000.0
75277.0,Navigating career turbulence,WorkLife with Adam Grant,2021-04-06,2021-04-09,WorkLife with Adam Grant,2128.0,1007176.0,30000.0
75276.0,How to Rethink a Bad Decision,WorkLife with Adam Grant,2021-03-30,2021-04-09,WorkLife with Adam Grant,2254.0,9965.0,298.0
74676.0,This tool will help improve your critical thinking,Erick Wilberding,2021-04-12,2021-04-12,TED-Ed,308.0,4244729.0,127000.0
75268.0,The giant leaps in language technology -- and who's left behind,Kalika Bali,2020-02-15,2021-04-12,TEDxMICA,971.0,1343647.0,40000.0
74296.0,Whatever happened to acid rain?,Joseph Goffman,2021-04-13,2021-04-13,TED-Ed,320.0,2387979.0,71000.0
75173.0,4 myths and misunderstandings about doing business in Africa,Nomava Zanazo,2021-04-08,2021-04-13,TED@BCG,716.0,1176400.0,35000.0
74357.0,"A NASA astronaut's lessons on fear, confidence and preparing for spaceflight",Megan McArthur,2020-11-12,2021-04-14,TEDWomen 2020,643.0,1287177.0,38000.0
75168.0,Why corporate diversity programs fail -- and how small tweaks can have big impact,Joan C. Williams,2020-12-05,2021-04-15,TEDxMileHigh,874.0,1294366.0,38000.0
75605.0,I am not your Asian stereotype,Canwen Xu,2016-04-02,2021-04-15,TEDxBoise,579.0,3586859.0,107000.0
75175.0,Why are airplanes slower than they used to be?,Alex Gendler,2021-04-15,2021-04-15,TED-Ed,279.0,2358533.0,70000.0
75488.0,Earth's original inhabitants -- and their role in combating climate change,Steven Allison,2020-10-10,2021-04-19,TEDxUCIrvine,615.0,1289784.0,38000.0
67428.0,Can we learn to talk to sperm whales?,David Gruber,2020-06-18,2021-04-19,TED2020 ,390.0,1194364.0,35000.0
75294.0,The world's most painful insect sting,Justin Schmidt,2021-04-19,2021-04-20,TED-Ed,297.0,1491683.0,44000.0
75119.0,How the world's tallest skyscraper was built,Alex Gendler,2021-04-20,2021-04-20,TED-Ed,346.0,882549.0,26000.0
75479.0,The global cooperation that accelerated the COVID-19 vaccines,Kiran Mazumdar-Shaw,2021-03-12,2021-04-20,TED@BCG,850.0,551333.0,16000.0
75831.0,How your memory works -- and why forgetting is totally OK,Lisa Genova,2021-03-31,2021-04-21,TED Membership,1336.0,2336852.0,70000.0
75498.0,How do wind turbines work?,Rebecca J. Barthelmie and Sara C. Pryor,2021-04-22,2021-04-22,TED-Ed,284.0,658086.0,19000.0
75825.0,3 strategies for effectively talking about climate change,John Marshall,2021-03-01,2021-04-22,Countdown,460.0,1264322.0,37000.0
75257.0,The race to build AI that benefits humanity with Sam Altman,The TED Interview,2021-04-05,2021-04-23,TED Audio Collective,4154.0,1015026.0,30000.0
75845.0,Can you solve Dongle's Difficult Dilemma?,Dennis E. Shasha,2021-04-26,2021-04-26,TED-Ed,308.0,1509123.0,45000.0
75973.0,"To accomplish great things, you need to ""let the paint dry""",Daniel J. Watts,2020-11-17,2021-04-26,TEDxBroadway,683.0,422162.0,12000.0
76130.0,"Demolition, disease, and death: Building the Panama Canal",Alex Gendler,2021-04-27,2021-04-27,TED-Ed,315.0,884344.0,26000.0
75762.0,The intergenerational wisdom woven into Indigenous stories,Tai Simpson,2019-04-20,2021-04-27,TEDxBoise,1049.0,1153613.0,34000.0
